,Neighborhood,Census.Tract,Homeowner.age.building.years,Pb.ppm,Pred.µg.dL.,P.PbB.3.5,P.PbB.5,P.PbB.6,P.PbB.10,Age.25m.years,Community.Area
1657,,720400,NA,136,2.05,12.734,2.885,1.113,0.037,68,BEVERLY
1658,,720400,NA,122,1.95,10.647,2.251,0.837,0.025,77,BEVERLY
1659,,720600,NA,135.5,2.05,12.657,2.861,1.102,0.037,NA,BEVERLY
1660,,720600,NA,114,1.89,9.525,1.932,0.703,0.02,NA,BEVERLY
1661,,750200,NA,156,2.19,15.952,3.96,1.605,0.062,84,MORGAN PARK
1662,,750500,NA,90.5,1.72,6.569,1.168,0.396,0.009,NA,MORGAN PARK
1663,,750500,NA,151,2.16,15.124,3.673,1.471,0.055,92,MORGAN PARK
1664,,750500,NA,230,2.71,29.282,9.611,4.533,0.273,43,MORGAN PARK
1665,,750500,NA,142.5,2.1,13.752,3.213,1.26,0.044,NA,MORGAN PARK
1666,,750200,NA,174,2.32,19.038,5.099,2.152,0.094,90,MORGAN PARK
1667,,720700,NA,93,1.74,6.858,1.237,0.423,0.01,96,BEVERLY
1668,,720700,NA,140,2.08,13.357,3.084,1.202,0.041,NA,BEVERLY
1669,,730600,NA,251.5,2.86,33.29,11.687,5.72,0.384,102,WASHINGTON HEIGHTS
1670,,730500,NA,148.5,2.14,14.716,3.534,1.406,0.051,107,WASHINGTON HEIGHTS
1671,,490700,NA,305.5,3.22,43.076,17.533,9.321,0.802,NA,ROSELAND
1672,,490800,NA,254.5,2.88,33.847,11.989,5.897,0.402,NA,ROSELAND
1673,,490800,NA,153.5,2.17,15.536,3.815,1.537,0.058,72,ROSELAND
1674,,490902,NA,205.5,2.54,24.728,7.466,3.363,0.177,67,ROSELAND
1675,,490902,NA,137.5,2.06,12.966,2.959,1.146,0.039,108,ROSELAND
1676,,491000,NA,131,2.01,11.971,2.648,1.008,0.032,NA,ROSELAND
1677,,730700,NA,116.5,1.91,9.87,2.029,0.743,0.021,62,WASHINGTON HEIGHTS
1678,,730700,NA,213.5,2.59,26.208,8.138,3.723,0.205,60,WASHINGTON HEIGHTS
1679,,750100,NA,106.5,1.84,8.525,1.661,0.591,0.016,50,MORGAN PARK
1680,,491100,NA,252,2.86,33.383,11.737,5.749,0.387,63,ROSELAND
1681,,491100,NA,78.5,1.64,5.273,0.871,0.284,0.006,89,ROSELAND
1682,,490901,NA,508,4.55,71.15,42.031,27.792,4.688,NA,ROSELAND
1683,,490901,NA,239.5,2.77,31.055,10.507,5.039,0.319,105,ROSELAND
1684,,490901,NA,259.5,2.91,34.773,12.5,6.199,0.433,67,ROSELAND
1685,,500300,NA,46.5,1.4,2.576,0.34,0.099,0.001,NA,PULLMAN
1686,,500300,NA,371.5,3.67,53.91,25.44,14.718,1.636,100,PULLMAN
1687,,491400,NA,486,4.41,68.838,39.45,25.606,4.072,NA,ROSELAND
1688,,491400,NA,585.5,5.03,78.045,50.592,35.454,7.215,114,ROSELAND
1689,,491300,NA,269,2.98,36.522,13.493,6.794,0.497,116,ROSELAND
1690,,491200,NA,404.5,3.88,58.728,29.518,17.716,2.205,110,ROSELAND
1691,,491200,NA,307,3.23,43.338,17.705,9.433,0.817,NA,ROSELAND
1692,,821402,NA,57,1.48,3.337,0.477,0.144,0.002,NA,NA
